Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
230,"Reial Monestir de Santa Maria de Pedralbes","Museus i col·leccions",NO,,,1,04,"Les Corts",21,Pedralbes,"Ajuntament de Barcelona","Institut de Cultura. Ajuntament de Barcelona",,41.395574166,2.112056853
358,"Renoir Floridablanca",Cinemes,NO,,,1,02,Eixample,10,"Sant Antoni","Titularitat privada","Cines Floridablanca",,41.381679719,2.162556081
481,"Sala Aquarel·la","Sales d'arts escèniques",NO,,,1,02,Eixample,10,"Sant Antoni","Titularitat privada",Anexa,,41.38469,2.16164
439,"Sala Ars Teatre","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Titularitat privada","Sala Ars Teatre BCN ",,41.3884888,2.1738805
217,"Sala Atrium","Sales d'arts escèniques",NO,,,1,02,Eixample,07,"la Dreta de l'Eixample","Titularitat privada",Teatrium,,41.397263538,2.173739616
492,"Sala B","Sales de música en viu",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Luz de Gas",,41.39534,2.14876
142,"Sala Beckett","Fàbriques de Creació",NO,,,1,10,"Sant Martí",68,"el Poblenou","Ajuntament de Barcelona","Fundació Sala Beckett Obrador Internacional de Dramatúrgia",,41.404734,2.199518
401,"Sala Bóveda","Sales de música en viu",NO,,,1,10,"Sant Martí",68,"el Poblenou","Titularitat privada",Backgroundnoise,,41.3984275,2.2000804
220,"Sala City Hall","Sales de música en viu",NO,,,1,02,Eixample,07,"la Dreta de l'Eixample","Titularitat privada","Activitats Lúdiques i Teatrals",,41.387709904,2.168321533
374,"Sala Fènix","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","La Ira Teatro",,41.3777431,2.1690638
375,"Sala Flyhard","Sales d'arts escèniques",NO,,,1,03,Sants-Montjuïc,18,Sants,"Titularitat privada","FlyHard Produccions",,41.371816,2.1408658
400,"Sala Plataforma","Sales de música en viu",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada","Line 145",,41.3728804,2.168014
458,"Sala Taro","Sales de música en viu",NO,,,1,03,Sants-Montjuïc,18,Sants,"Titularitat privada","Sala Taro",,41.37369,2.13740
446,"Sala Upload Barcelona (Poble Espanyol)","Sales de música en viu",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada",AMAMUSIC2015,,41.3694671,2.1470439
147,"Sala Versus Glòries","Sales d'arts escèniques",NO,,,1,02,Eixample,05,"el Fort Pienc","Titularitat privada","Apunta Teatre",,41.402080107,2.183906477
58,"Santa Mònica","Centres d'exposicions",NO,,,1,01,"Ciutat Vella",01,"el Raval","Altres administracions públiques","Generalitat de Catalunya",,41.377227254,2.175597264
192,"saT! Sant Andreu Teatre","Sales d'arts escèniques",NO,,,1,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","N54 Produccions",,41.430583231,2.188904165
178,"Sidecar Factory Club","Sales de música en viu",NO,,,1,01,"Ciutat Vella",02,"el Barri Gòtic","Titularitat privada","Roberto Tierz",,41.380544047,2.175174697
487,Sinestesia,"Sales de música en viu",NO,,,1,03,Sants-Montjuïc,18,Sants,"Titularitat privada",Sinestesia,,41.38100,2.13593
402,"Slow Barcelona","Sales de música en viu",NO,,,1,02,Eixample,08,"l'Antiga Esquerra de l'Eixample","Titularitat privada",LEYDEBER,,41.3935824,2.1533629
426,"Societat Coral l'Espiga de Les Corts",Ateneus,NO,,,1,04,"Les Corts",19,"les Corts","Titularitat privada","Societat Coral l'Espiga de les Corts ",,41.3879959,2.1332087000000683
427,"Societat Cultural i Esportiva La Lira",Ateneus,NO,,,1,09,"Sant Andreu",60,"Sant Andreu","Titularitat privada","Societat Cultural i Esportiva La Lira",,41.4330659,2.1886806999999635
442,"Soda Acústic","Sales de música en viu",NO,,,1,06,Gràcia,31,"la Vila de Gràcia","Titularitat privada","Soulkitchen MiniClub",,41.4031899,2.1567985
488,"Tablao de Carmen","Sales de música en viu",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada","Marasa, 94",,41.36907,2.14885
489,"Tablao Flamenco Cordobés","Sales de música en viu",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada",Cadame,,41.37975,2.17478
491,"Taller de Músics 24","Sales de música en viu",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Taller de Músics",,41.38011,2.16413
179,Tarantos,"Sales de música en viu",NO,,,1,01,"Ciutat Vella",02,"el Barri Gòtic","Titularitat privada","PELAIMAS. Grup Mas i Mas",,41.379703771,2.175268003
233,"Teatre Akadèmia","Sales d'arts escèniques",NO,,,1,02,Eixample,08,"l'Antiga Esquerra de l'Eixample","Titularitat privada","Assoc. Civil Teatre Akadèmia",,41.392700831,2.147273481
128,"Teatre Apolo","Sales d'arts escèniques",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada","Veniu Escena",,41.374764425,2.170308608
129,"Teatre Borràs","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Titularitat privada","Edificios y Espectáculos. Grup Balañá",,41.388856627,2.173599270
130,"Teatre Condal","Sales d'arts escèniques",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada","Serveis Escènics Comtal. Grup Focus",,41.374775800,2.164709963
